Frame,Velocidad Cadera,Velocidad Rodilla,Velocidad Tobillo
1,6.747320353198206e-05,0.00020087080054892733,-5.1272239839680715e-06
2,0.005625031127989332,0.011954312215613015,0.007989057795206455
3,0.011100635695232113,0.02295997529552787,0.015180426422971861
4,0.01633972558148693,0.03225984002041434,0.020793305492648986
5,0.021094308163867728,0.03864604130816397,0.024156995075667948
6,0.025108128966595727,0.04113440205020749,0.024862549592779972
7,0.028225972043587986,0.039612816793758034,0.02294529754186765
8,0.03043086635249838,0.035190556627930365,0.018968877092348065
9,0.03177473774385243,0.029911267034350212,0.01391026164645927
10,0.03226871732112727,0.025914344765146247,0.008872413529978493
11,0.03183408600992564,0.024502421993698,0.004767016675518404
12,0.030351096036638082,0.025616261178597943,0.002109776350663682
13,0.02776077909312852,0.027958505348738602,0.0009801280920389136
14,0.024155248653311753,0.029667170698454523,0.0011120286782838418
15,0.019823246150262642,0.02919619727350606,0.0020493827409568976
16,0.015243428122427648,0.025985299055256653,0.0033032839910001046
17,0.0110205987972339,0.02061728345481296,0.0044680417572731616
18,0.007762458386231615,0.014430362936013248,0.005281735797382785
19,0.005914952164189816,0.008836025841459667,0.005645829499338259
20,0.0056072984591187085,0.004717306088210203,0.0056317351974468285
21,0.006579613749289182,0.0021872332108735927,0.0054897260086821794
22,0.008251892538997186,0.0007670618672601709,0.005644432099086776
23,0.00994004770992947,-0.00015453614170790858,0.006634900648556686
24,0.01115849371690419,-0.0008118510673012148,0.008961385838266105
25,0.011900176486632054,-0.0007205259764377156,0.012849769312996827
26,0.012769321237282206,0.0013488289543057235,0.018026152042162537
27,0.014866153743530383,0.007031911492011451,0.023656733067720044
28,0.01939382250760311,0.01773068498231279,0.028578074643153015
29,0.027075889844379142,0.03385362188952775,0.03179067214770455
30,0.03761307738949121,0.05420948055953494,0.03298481866112632
31,0.04950001134286312,0.07585973843544982,0.03276256900658789
32,0.06046039297770936,0.09467096638409217,0.0323401307561291
33,0.06847643583591079,0.10657889919432069,0.03283543772700038
34,0.07296532861232351,0.1091495094599178,0.03455403906565917
35,0.07536131169897055,0.10263768786231434,0.036740205351157615
36,0.0785335972764681,0.08986926547101003,0.03800527575842682
37,0.08518318677054988,0.07500302396949438,0.03724597214092153
38,0.09617452346863817,0.06194218342729451,0.03454690511138629
39,0.10998909227567126,0.053211139350292765,0.031500889029499365
40,0.12385586382702726,0.04961588935295011,0.030664688586456906
41,0.13598866585193062,0.05053968544711563,0.034376770567348856
42,0.1474670311504342,0.05455084227203664,0.04354919827855615
43,0.16230742639491041,0.060024339356080626,0.05702179998288933
44,0.18534689917351777,0.06561014836647222,0.07171884960840776
45,0.21900326585141222,0.070550858188365,0.08352296940980591
46,0.2607302650452366,0.07491223446803308,0.08865700055340182
47,0.30265319783232525,0.07967090008066861,0.08528011104408903
48,0.33384958016388877,0.0864721806117589,0.07481851766189285
49,0.3445426278894193,0.09696541494625148,0.06247558037053843
50,0.33046885603279075,0.11193338889840236,0.05663593908166322
51,0.29534234230329065,0.13067071146742465,0.06728994630530724
52,0.2500975163857754,0.1509695251413716,0.10377096876104078
