Frame,Cadera_X,Cadera_Y,Rodilla_X,Rodilla_Y,Tobillo_X,Tobillo_Y
1,0.13441084325313568,0.5440518260002136,0.12324398010969162,0.6888221502304077,0.08870124071836472,0.8471311926841736
2,0.14133164286613464,0.5404567122459412,0.13133955001831055,0.6812943816184998,0.09069523960351944,0.8414127826690674
3,0.14506325125694275,0.5378681421279907,0.13603344559669495,0.6773690581321716,0.09161544591188431,0.8380782008171082
4,0.145777627825737,0.5378144383430481,0.13583245873451233,0.6770268678665161,0.09303808957338333,0.8368622064590454
5,0.15030266344547272,0.5374487638473511,0.136603444814682,0.6771583557128906,0.0949755385518074,0.8349869847297668
6,0.15128061175346375,0.5372580289840698,0.13764077425003052,0.6762062311172485,0.09710926562547684,0.8346831202507019
7,0.1507684290409088,0.5362265110015869,0.13823293149471283,0.6748648881912231,0.09746729582548141,0.8344681262969971
8,0.15312647819519043,0.5341456532478333,0.14059697091579437,0.6715196967124939,0.10073385387659073,0.8296896815299988
9,0.15387733280658722,0.528885543346405,0.14228008687496185,0.67063307762146,0.10363749414682388,0.829526960849762
10,0.15741632878780365,0.5296674370765686,0.14164948463439941,0.6707576513290405,0.10545668005943298,0.8289186358451843
11,0.16047713160514832,0.5320228934288025,0.1415001004934311,0.6729551553726196,0.10600794106721878,0.8279079794883728
12,0.16144278645515442,0.5322676301002502,0.14142091572284698,0.6737809777259827,0.10625118762254715,0.8283252120018005
13,0.16254973411560059,0.5324316620826721,0.14117126166820526,0.674196720123291,0.10740068554878235,0.8285262584686279
14,0.16211314499378204,0.5345057249069214,0.14099590480327606,0.6748600006103516,0.10816307365894318,0.828728973865509
15,0.1625099629163742,0.5345335602760315,0.14105980098247528,0.6748862862586975,0.10831297188997269,0.8284951448440552
16,0.16323818266391754,0.5345167517662048,0.14128392934799194,0.6749851107597351,0.10810282826423645,0.8284613490104675
17,0.1637047529220581,0.534534215927124,0.14273585379123688,0.6740332245826721,0.10805214941501617,0.828456461429596
18,0.16360341012477875,0.5346067547798157,0.14290301501750946,0.6735258102416992,0.10787972807884216,0.8281346559524536
19,0.16504846513271332,0.5338419675827026,0.14488254487514496,0.6724491119384766,0.10961554944515228,0.8277678489685059
20,0.1656801700592041,0.5338069796562195,0.145853191614151,0.6721885800361633,0.11138410121202469,0.827526330947876
21,0.16630683839321136,0.533816397190094,0.1462973803281784,0.6720136404037476,0.11178095638751984,0.8270979523658752
22,0.16632437705993652,0.5330344438552856,0.14649076759815216,0.6692966222763062,0.1115594357252121,0.8253079056739807
23,0.16670820116996765,0.5330547094345093,0.14669589698314667,0.6693925261497498,0.11142086237668991,0.825239360332489
24,0.1665838658809662,0.5118910670280457,0.14962780475616455,0.6656692624092102,0.11099040508270264,0.825302004814148
25,0.1666894555091858,0.5218203663825989,0.14937834441661835,0.6668643355369568,0.1109677106142044,0.8252831101417542
26,0.16669808328151703,0.5251209735870361,0.1491764485836029,0.6689297556877136,0.11091713607311249,0.8250579833984375
27,0.16693063080310822,0.5281597375869751,0.1489446461200714,0.6694584488868713,0.1108502671122551,0.8238651156425476
28,0.16733992099761963,0.5332328081130981,0.14876018464565277,0.670669674873352,0.11035624146461487,0.8238584995269775
29,0.16836977005004883,0.5332905054092407,0.1493530124425888,0.6705399751663208,0.1094282791018486,0.8231103420257568
30,0.1703256517648697,0.5333853363990784,0.15002354979515076,0.6701503992080688,0.10932179540395737,0.8223852515220642
31,0.17182302474975586,0.535550057888031,0.1500614732503891,0.6697575449943542,0.10926202684640884,0.8216456174850464
32,0.17175762355327606,0.535487949848175,0.14998824894428253,0.6700084805488586,0.10939931124448776,0.8217114806175232
33,0.17158089578151703,0.5350489616394043,0.14992070198059082,0.6701525449752808,0.10940897464752197,0.821743369102478
34,0.17145071923732758,0.5353823900222778,0.1502486616373062,0.6704332828521729,0.1101175919175148,0.8217917084693909
35,0.1713666170835495,0.5345010161399841,0.1503068506717682,0.6705248951911926,0.11037854105234146,0.8220848441123962
36,0.17031268775463104,0.5328014492988586,0.1497858315706253,0.6697214245796204,0.10960477590560913,0.8215648531913757
37,0.1666547954082489,0.5333134531974792,0.14697949588298798,0.6757268905639648,0.10735942423343658,0.8239949941635132
38,0.16560673713684082,0.5317422747612,0.14578986167907715,0.6774694919586182,0.10732829570770264,0.8258041143417358
39,0.16189803183078766,0.5297117233276367,0.1441074013710022,0.6789183020591736,0.10698124766349792,0.828060507774353
40,0.15311259031295776,0.5458762049674988,0.1403551995754242,0.6932106614112854,0.10643359273672104,0.8326377272605896
41,0.14333172142505646,0.5537965893745422,0.1346990168094635,0.7029247283935547,0.10189863294363022,0.8373528718948364
42,0.13753613829612732,0.5556190013885498,0.1343538761138916,0.7009841203689575,0.09941676259040833,0.8370192050933838
43,0.13369473814964294,0.5544007420539856,0.13477464020252228,0.7003273963928223,0.09995138645172119,0.8382391333580017
44,0.11792590469121933,0.5588197112083435,0.12924054265022278,0.7044386863708496,0.09337083250284195,0.8399038910865784
45,0.11357418447732925,0.5640017986297607,0.13064923882484436,0.7059683203697205,0.09482519328594208,0.8393845558166504
46,0.12133486568927765,0.5814187526702881,0.14261895418167114,0.704170286655426,0.09550755470991135,0.8396648168563843
47,0.1167239248752594,0.5870117545127869,0.1466650366783142,0.7030597925186157,0.09626979380846024,0.8398870825767517
48,0.11863073706626892,0.6002391576766968,0.14570027589797974,0.7053932547569275,0.09638909250497818,0.8347832560539246
49,0.10618972033262253,0.6086181402206421,0.14046138525009155,0.7086619138717651,0.09675657004117966,0.8329740166664124
