Frame,Velocidad Cadera,Velocidad Rodilla,Velocidad Tobillo
6,-0.0008687511086251584,0.00014376890293175444,0.0003935264319510997
7,0.07953539396328584,-0.0587688844651645,-0.13167592024809358
8,0.15239103279239177,-0.0955034893310775,-0.20807270592053248
9,0.21418466129738253,-0.08517636922170577,-0.176473263933268
10,0.2674059179629637,-0.0019808572706771013,0.0032746110862643036
11,0.3181582092781882,0.17258341996641488,0.3441705543842554
12,0.3714127028603015,0.43759292421402735,0.8159520454216384
13,0.4269475233341633,0.762816043916126,1.337980916844767
14,0.4784882400352322,1.0885353956339754,1.7914897710544297
15,0.5164235377350566,1.3397506810690585,2.0543376123603716
16,0.532206910348803,1.4517971782246857,2.0475508172909023
17,0.5218211054727522,1.3957472152220323,1.7705079220258937
18,0.4868359778611183,1.189812388344294,1.3031968336661999
19,0.4333451255469649,0.8907589414591447,0.7728531776221995
20,0.3698769933128086,0.5710725547592934,0.30417626547181414
21,0.3050944319288605,0.29407083233901077,-0.0209587574824596
22,0.2457600409240329,0.09736888351531876,-0.17909019808778967
23,0.19555058773096726,-0.011214787616717866,-0.19665105847115338
24,0.15525124166403523,-0.047203042671593996,-0.12771664865217808
25,0.1242239188580732,-0.03753883205702987,-0.029939139423332494
26,0.10230610084970498,-0.00862020765742218,0.05301194439044551
27,0.0910218994110454,0.021814509627384144,0.09923737318619494
28,0.09324929246627778,0.04734295378422179,0.10750133013535197
29,0.11124724474930313,0.07058478845191873,0.09046019924408637
30,0.14404301485914703,0.09796713472203465,0.06604261184476211
31,0.18590697658983116,0.1340611977128827,0.05002560339428139
32,0.22720311197527931,0.17773019337171422,0.05137360490701375
33,0.2574492750831903,0.22135058177855307,0.07051051246091108
34,0.2691182234929254,0.25309791841253954,0.09998725209790012
35,0.2605509833085996,0.26129192590574807,0.1270595952316065
36,0.2371641269761334,0.23942626041668671,0.1380048882200716
37,0.21099107227926292,0.1905710158713305,0.12388602308980293
38,0.19890214852419516,0.1298752993143284,0.08662284165956866
39,0.2196017483191276,0.08380904043232178,0.04314431449990283
40,0.28908959042182425,0.0849587415723551,0.024972450813962516
41,0.4144549905463256,0.16219771361457036,0.07135785424965044
42,0.587310539769376,0.3281604545048501,0.21607300050814218
43,0.7803031158139422,0.5685961837931176,0.47104237514949737
44,0.9508890849498707,0.8397305346733194,0.8133767463376579
46,1.0539405578406815,1.078168827465987,1.1838833886096416
47,1.059341854172882,1.222318891323073,1.5020471275558556
49,0.9662896774080088,1.2370699378848353,1.6943368542119184
50,0.8063878801297335,1.129473581018803,1.723466245766756
51,0.6330238341680824,0.9464583867209254,1.6031928486120797
52,0.5014525891381152,0.7551976604789865,1.3906367514650733
53,0.4483934141276966,0.6161888901364018,1.1610756680859349
54,0.47967107774827283,0.5617678865380478,0.9786872159076752
55,0.5703141266959048,0.5881554439628929,0.87614184101535
56,0.6761037247166203,0.6619998385856879,0.8494863264323879
57,0.7511727679111075,0.7368211412982918,0.8671761088590375
58,0.7643176217149809,0.7718527574550242,0.8866591642509317
59,0.7079160446011895,0.745728626444859,0.870771566733916
60,0.5971890366352443,0.6605402215798,0.7990073937493753
61,0.4618341906609648,0.5366729648171938,0.6720633993629548
62,0.3344521143690158,0.4025242096298249,0.5095078865951091
63,0.24012067785064553,0.28387955544573673,0.34137811795334155
64,0.19005783467680873,0.19640302522766426,0.19673727528709795
65,0.18063485300166995,0.14307447752204708,0.0941075862168525
66,0.19735787469654792,0.11674380743721502,0.0376897965082877
67,0.2219402881619285,0.10609699520869607,0.019852276754162807
68,0.239604682113333,0.10194976748916273,0.027264278776737025
69,0.243750458434124,0.10086949196112512,0.04711133698972113
70,0.23636842605777242,0.10481502390949955,0.07091739119456071
71,0.2246962234573612,0.11776893259136023,0.09537365178835361
72,0.21640597224628944,0.14175737278278647,0.12103974258212125
73,0.21593425379126713,0.17453727026819013,0.15027434892622651
74,0.2233606163604909,0.21003938963602492,0.18543142380018984
75,0.23557386454199722,0.24122433625138442,0.22776265419132827
76,0.24845098653252465,0.26393084535505706,0.27703018628197923
77,0.25876372704817074,0.27983281526323517,0.3316650492615629
78,0.2651244303745109,0.2968133392484214,0.3892916418126316
79,0.2679046826460674,0.32598495183835074,0.44744072980887745
80,0.2684547782841957,0.37625376616913303,0.5042496077816021
81,0.26814618074311103,0.4490710538797381,0.5589314012490914
82,0.2677398266096041,0.53649208059506,0.6118490642992933
