Frame,Aceleración Cadera,Aceleración Rodilla,Aceleración Tobillo
1,-0.00042719537449523843,0.0003070281254262207,0.000270328713841427
2,0.06256872482447598,0.10860659459975039,0.0716123686447757
3,0.11413893123106032,0.18532942549088485,0.1211173632439762
4,0.14622545272414822,0.21033133086753866,0.134270210073331
5,0.15595647645321262,0.18115809075140205,0.10824361623737723
6,0.14541175158295755,0.11251349276065215,0.051898292517724105
7,0.1198160197547459,0.02958766541438711,-0.018042959339888368
8,0.0852283112838963,-0.041621438577516226,-0.08277290018098708
9,0.046748143352714114,-0.08317087113779041,-0.12697551313418645
10,0.007795753476415691,-0.09015940776811018,-0.1425579117887825
11,-0.029554226979134107,-0.07049388789224459,-0.129781591353892
12,-0.06365535085318426,-0.040108375844048784,-0.09593188186745001
13,-0.0924372763069754,-0.015920030131027236,-0.05232101881042854
14,-0.11315057613869264,-0.009438937945747697,-0.0107147232784496
15,-0.1229034753616031,-0.02340014378384884,0.019790834217170584
16,-0.11977774796529295,-0.052326106373077774,0.03473075027015193
17,-0.10399617606500294,-0.08620644282070987,0.0347792738941285
18,-0.07851952758456818,-0.11524608882609058,0.02489715234133147
19,-0.04862678954742841,-0.13339437454201228,0.012487244529168563
20,-0.02043038940501141,-0.1391773362601579,0.005078825984541297
21,0.0012414693883886947,-0.13379568377961976,0.008112523880700327
22,0.01479436763709227,-0.117837931122003,0.023370226755841328
23,0.02277165727065198,-0.08865764153203769,0.04847954508429845
24,0.031139602766202867,-0.04016448244782257,0.07769165646481743
25,0.047000946342724524,0.03438623396533789,0.10377779022529442
26,0.07549786289976196,0.13754385682964926,0.12047902563589523
27,0.1171568733851577,0.2629030578566071,0.12463184942673554
28,0.1669195845295041,0.39292530504767637,0.11707303202790124
29,0.21549957408123624,0.5010727387472526,0.10182488492554753
30,0.252691914966995,0.5583468272092731,0.08380881874688345
31,0.2712784030394778,0.5424176837179795,0.06613395948886408
32,0.26974479655681705,0.44615209285371504,0.048429625498892515
33,0.25249453449756376,0.2821594529084531,0.027396666048711587
34,0.22750639319596386,0.08118759527034335,-0.00027283671855904217
35,0.2028417491050843,-0.11557841139687804,-0.03381275661662783
36,0.18419825596584666,-0.2679183281430097,-0.06534388206533102
37,0.17518804242695665,-0.34781858744541355,-0.08010512382765757
38,0.1802477841867812,-0.34674050247962773,-0.061003552614173506
39,0.20797025120117285,-0.27661694052486135,0.0034660363773883498
40,0.27154632897697917,-0.1645786613749931,0.11084946419388302
