Frame,Aceleración Cadera,Aceleración Rodilla,Aceleración Tobillo
1,-0.003065532587814563,-0.0006488044568774804,-0.0010359495686644348
2,0.23955848127418228,0.2266188076091788,0.2670500188416471
3,0.4189327074390592,0.37665399436097724,0.4599920701876773
4,0.4968151936420738,0.4024462170892595,0.5275156437139834
5,0.4699696436554771,0.30284071588064987,0.4591526281342956
6,0.3646907787649625,0.11766713708651681,0.28266439515151465
7,0.2200929452486921,-0.09225649903315394,0.05002657781505855
8,0.06999761514262698,-0.26904300957996247,-0.1811341922313193
9,-0.06805286063182267,-0.37536108578836813,-0.36326526490365796
10,-0.19312000772107177,-0.4007976801398815,-0.46779895975689056
11,-0.3123732148104336,-0.3577466156977477,-0.4869748229157629
12,-0.42905683892342195,-0.27127931983333614,-0.4306299617022511
13,-0.5329263248947856,-0.16824461837907811,-0.32058955332497735
14,-0.5975908649579345,-0.06942604512693598,-0.18463756886691404
15,-0.5863433083496964,0.013730768794498879,-0.05102583663176801
16,-0.4649354256866249,0.07833558395719899,0.05622885205369961
17,-0.21717982166289967,0.12684394095692714,0.12114774562887727
18,0.14215413323289078,0.16321759377050157,0.13831169037768465
19,0.562473381374391,0.18981422138751944,0.11344138850295551
20,0.9638199572902542,0.2057278339886386,0.06146903516976274
21,1.254420606141972,0.20674087012565534,0.002137779204401577
22,1.3550343000014458,0.18666668124421543,-0.04590959963973663
23,1.2227150690436344,0.13964226460088935,-0.07078371494859893
24,0.8659453802807688,0.06282616094989635,-0.0707487392076381
25,0.3455203563661444,-0.04107893971109934,-0.05397070871054081
26,-0.23960604947928488,-0.16206090681565644,-0.03449315369454043
27,-0.7769777358679019,-0.2823604742072701,-0.025797945916621982
28,-1.1677330833721584,-0.37788131506459377,-0.03436872410613428
29,-1.3478340619100422,-0.4217860663784849,-0.05583592136958193
30,-1.2980517575347643,-0.39017888535366546,-0.07542685505309348
31,-1.0418485948206238,-0.2690402783323714,-0.07286872173265961
32,-0.6342590096142731,-0.06071055481117071,-0.030187823064190718
33,-0.14674269279620775,0.21239393387166416,0.06033969711741773
34,0.34747847027953366,0.5090235734149479,0.19105157171206885
35,0.7849592126717038,0.7763344004546443,0.33870241255230754
36,1.1197103252345384,0.9621272962321904,0.4697064563180222
37,1.3272543654706808,1.0288604048558816,0.5494571395944065
38,1.4052442725753524,0.9647836155414037,0.5528813723229301
39,1.37045109295748,0.787812292592731,0.472797119493504
40,1.2520898316156917,0.539983609023887,0.32317877032486003
41,1.082530320855251,0.2738764811766734,0.13598148346204328
42,0.8879496127519844,0.03579754071147485,-0.04771874597466081
43,0.6823321345855846,-0.14778141837843042,-0.18952726718485124
44,0.4674549449767313,-0.2751018103771071,-0.2645732079498985
45,0.23904845731689534,-0.363419069946265,-0.2676395278903478
46,-0.003727603005111081,-0.43535437666837146,-0.21234283371797075
47,-0.25033295868741473,-0.5033723845954498,-0.12356147840254764
48,-0.47689665134770615,-0.5592696008705853,-0.0258399664130135
49,-0.6519927849844019,-0.5734439498062514,0.0678131701680878
50,-0.748023394331965,-0.504728044235929,0.1621581523618044
51,-0.7531166191807976,-0.31746144938354504,0.2779499503213223
52,-0.6779055898348856,0.000176845080039823,0.441910950140439
53,-0.5537394435820835,0.42299964078495644,0.6713399205857784
54,-0.4226606569495162,0.8856469509413057,0.9586774870117318
55,-0.32292822383442604,1.2914509729127899,1.2622248988871605
56,-0.27532353790076824,1.532243142242657,1.5081301556831854
57,-0.27449216539708,1.5153177549555181,1.6058342323956631
58,-0.2870813831280183,1.19186401749576,1.4750181837176017
59,-0.25608645878045555,0.5802194796232824,1.0777128395427251
60,-0.10990988765122248,-0.22262289826153156,0.44590268029449837
61,0.22473324662999594,-1.0465390884734396,-0.3059941006170541
62,0.8059045935871323,-1.6734160799199445,-0.9919615499374658
63,1.6555610584373108,-1.880328626191082,-1.390797162990352
64,2.7371094337228117,-1.4939522040069553,-1.3020688995409448
65,3.9377911735708104,-0.44430701774436987,-0.6073751321998632
66,5.06571971259189,1.197246607828621,0.6823471668548192
67,5.871344200007115,3.210113725991908,2.4117557124734477
68,6.097503335942339,5.255193599008477,4.308422213359593
69,5.551449426171118,6.942358040227467,6.048765971379868
70,4.179887153709412,7.920583497003873,7.343528656435365
71,2.120090033992043,7.966976740692544,8.013444363417562
72,-0.2979933246278169,7.04816436412055,8.026393997951748
73,-2.61030892083062,5.333784171823452,7.480828605237106
74,-4.328474484263462,3.1556899301853423,6.542369849571978
75,-5.070792268587453,0.9232996647399025,5.361686814562921
76,-4.67363170090049,-0.9806499035967955,4.01140628729345
77,-3.2462153572797208,-2.293614461707388,2.471981656722952
78,-1.1494703600770397,-2.9293603107875406,0.6736208409452125
79,1.0956439708593135,-2.9821553218170593,-1.4259773916386747
80,2.942108510534112,-2.6810799780749606,-3.7666647776344075
81,3.9518539505763366,-2.312030997723536,-6.151952646955645
82,3.8912845832328733,-2.1341521725844146,-8.275310921614645
83,2.7606321722578824,-2.317047728559298,-9.797509221105221
84,0.752756683878009,-2.9155156741779154,-10.443180839035765
85,-1.8392345423047822,-3.883501810593782,-10.079084085621979
86,-4.7286238609259,-5.114460724523814,-8.749250012245607
87,-7.714334021156009,-6.487140197767768,-6.664194607222719
88,-10.70281523076862,-7.897364005060964,-4.158802803798399
